DEJ2000,Hmag,ID,Jmag,Ksmag,Pixel Axis 0,RAJ2000,Type,World 0,__24_,__3.6_,__4.5_,__4.5__-__5.8_,__5.8_,__5.8__-__8.0_,__8.0_
60.510607,13.69,1,15.34,13.04,0,41.081526,3.0,0,nan,12.6,12.5,0.14,12.36,-0.110001,12.47
60.682772,10.68,2,10.9,10.58,1,41.09856,3.0,1,nan,10.5,10.49,0.0699997,10.42,0.46,9.96
60.667424,12.26,3,13.3,11.88,2,41.100737,3.0,2,nan,11.63,11.72,0.29,11.43,0.530001,10.9
60.660875,12.52,4,13.01,12.29,3,41.109056,2.0,3,nan,12.18,12.12,0.309999,11.81,1.14,10.67
60.515686,12.09,5,12.52,11.98,4,41.109473,3.0,4,nan,11.94,11.94,0.0599995,11.88,-0.14,12.02
60.519115,12.53,6,13.27,12.12,5,41.112052,3.0,5,nan,11.95,11.86,0.11,11.75,0.0100002,11.74
60.509403,13.73,7,14.2,13.53,6,41.116165,3.0,6,nan,13.48,13.52,-0.0199995,13.54,0.11,13.43
60.512183,14.12,8,14.9,13.67,7,41.128907,3.0,7,nan,13.41,13.32,-0.04,13.36,-0.42,13.78
60.536046,12.39,9,13.96,11.74,8,41.128946,3.0,8,nan,11.36,11.35,0.150001,11.2,0.0799999,11.12
60.673029,12.3,10,12.78,12.03,9,41.130516,3.0,9,nan,11.89,11.82,0.0799999,11.74,0.04,11.7
60.482247,13.34,11,13.74,13.11,10,41.131918,3.0,10,nan,13.58,12.95,0.0900002,12.86,-0.04,12.9
60.515322,13.22,12,13.96,13.0,11,41.13242,3.0,11,nan,12.85,12.88,0.0799999,12.8,-0.04,12.84
60.685946,nan,13,nan,nan,12,41.133205,2.0,12,nan,14.81,14.23,0.429999,13.8,0.7,13.1
60.664328,14.86,14,15.8,14.56,13,41.136062,2.0,13,nan,14.36,14.19,0.219999,13.97,0.93,13.04
60.68285,12.18,15,12.64,11.93,14,41.137501,3.0,14,nan,11.8,11.72,0.04,11.68,0.26,11.42
60.702637,13.78,16,14.28,13.72,15,41.144421,2.0,15,nan,13.57,12.71,-0.52,13.23,-0.18,13.41
60.628409,15.88,17,nan,15.19,16,41.14473,2.0,16,nan,14.02,13.4,0.259999,13.14,1.17,11.97
60.539714,14.25,18,14.96,13.96,17,41.14611,2.0,17,nan,13.79,13.1,-0.32,13.42,nan,nan
60.525398,13.41,19,14.78,12.9,18,41.146264,3.0,18,nan,12.59,12.56,0.120001,12.44,-0.23,12.67
60.647467,11.72,20,12.6,11.42,19,41.151445,3.0,19,nan,11.25,11.27,0.13,11.14,0.0,11.14
60.505843,11.68,21,12.61,11.41,20,41.15382,3.0,20,nan,11.29,11.27,0.0900002,11.18,0.0200005,11.16
60.475511,12.13,22,12.92,11.89,21,41.164019,3.0,21,nan,11.68,11.67,0.0500002,11.62,0.0599995,11.56
60.687779,15.31,23,16.43,14.43,22,41.165982,2.0,22,nan,13.52,13.15,0.33,12.82,0.33,12.49
60.662103,13.57,24,14.05,13.46,23,41.166622,3.0,23,nan,13.3,13.29,0.0799999,13.21,0.13,13.08
60.672404,15.01,25,16.13,14.49,24,41.171375,2.0,24,nan,13.56,13.08,0.55,12.53,0.77,11.76
60.678726,13.17,26,13.65,13.01,25,41.173144,3.0,25,nan,12.92,12.95,-0.0900002,13.04,0.12,12.92
60.702874,14.68,27,15.18,14.39,26,41.174792,2.0,26,nan,14.07,13.51,-0.55,14.06,nan,nan
60.57429,14.44,28,15.67,13.78,27,41.175439,2.0,27,nan,12.9,12.57,0.42,12.15,0.759999,11.39
60.675406,nan,29,nan,13.69,28,41.176382,3.0,28,nan,13.6,13.62,0.0299997,13.59,0.47,13.12
60.545146,12.09,30,12.62,11.87,29,41.178865,3.0,29,nan,11.75,11.72,0.0799999,11.64,-0.15,11.79
60.710511,11.14,31,11.53,11.02,30,41.187741,3.0,30,nan,10.95,11.0,0.19,10.81,0.620001,10.19
60.557392,13.76,32,14.9,13.33,31,41.189035,3.0,31,nan,12.97,12.94,0.0599995,12.88,0.14,12.74
60.67584,13.79,33,14.28,13.56,32,41.18997,3.0,32,nan,13.53,13.62,0.21,13.41,0.37,13.04
60.489549,13.5,34,13.94,13.29,33,41.190526,3.0,33,nan,13.06,13.08,0.04,13.04,0.0199995,13.02
60.636479,12.41,35,12.91,12.2,34,41.192674,3.0,34,nan,12.07,12.02,0.1,11.92,0.0900002,11.83
60.664487,12.91,36,14.16,12.43,35,41.193473,3.0,35,nan,12.07,12.11,0.19,11.92,0.15,11.77
